ID,movie_title,class,year,runtime,rating,meta
tt6723592,Tenet,PG-13,2020.0,150.0,7.7,69.0
tt4566758,Mulan,PG-13,2020.0,115.0,5.5,66.0
tt9252468,Mosul,TV-MA,2019.0,101.0,7.2,
tt7126948,Wonder Woman 1984,PG-13,2020.0,151.0,,
tt10310140,Fatman,R,2020.0,100.0,5.9,40.0
tt7737786,Greenland,PG-13,2020.0,119.0,6.3,
tt11499506,The Beast,TV-MA,2020.0,97.0,5.2,
tt7638348,Boss Level,,2020.0,100.0,6.7,
tt4682266,The New Mutants,PG-13,2020.0,94.0,5.3,43.0
tt1375666,Inception,PG-13,2010.0,148.0,8.8,74.0
tt8367814,The Gentlemen,R,2019.0,113.0,7.8,51.0
tt11697484,The 2nd,Not Rated,2020.0,93.0,4.6,
tt4633694,Spider-Man: Into the Spider-Verse,PG,2018.0,117.0,8.4,87.0
tt0095016,Die Hard,R,1988.0,132.0,8.2,72.0
tt7846844,Enola Holmes,PG-13,2020.0,123.0,6.6,68.0
tt4154796,Avengers: Endgame,PG-13,2019.0,181.0,8.4,78.0
tt10059518,Unhinged,R,2020.0,90.0,6.0,40.0
tt6850820,Peppermint,R,2018.0,101.0,6.5,29.0
tt1392190,Mad Max: Fury Road,R,2015.0,120.0,8.1,90.0
tt8784956,Ava,R,2020.0,96.0,5.3,39.0
tt11656172,Hard Kill,R,2020.0,98.0,4.1,
tt2527338,Star Wars: The Rise Of Skywalker,PG-13,2019.0,141.0,6.6,53.0
tt0120737,The Lord of the Rings: The Fellowship of the Ring,PG-13,2001.0,178.0,8.8,92.0
tt8244784,The Hunt,R,2020.0,90.0,6.5,50.0
tt5774060,Underwater,PG-13,2020.0,95.0,5.8,48.0
tt7212754,Ludo,TV-MA,2020.0,149.0,7.6,
tt0468569,The Dark Knight,PG-13,2008.0,152.0,9.0,84.0
tt6475714,Monster Hunter,PG-13,2020.0,99.0,5.4,
tt5463162,Deadpool 2,R,2018.0,119.0,7.7,66.0
tt0172495,Gladiator,R,2000.0,155.0,8.5,67.0
tt10600398,We Can Be Heroes,PG,2020.0,,,
tt1431045,Deadpool,R,2016.0,108.0,8.0,65.0
tt0451279,Wonder Woman,PG-13,2017.0,141.0,7.4,76.0
tt1950186,Ford v Ferrari,PG-13,2019.0,152.0,8.1,81.0
tt0133093,The Matrix,R,1999.0,136.0,8.7,73.0
tt7713068,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,R,2020.0,109.0,6.1,60.0
tt1856101,Blade Runner 2049,R,2017.0,164.0,8.0,81.0
tt0120915,Star Wars: Episode I - The Phantom Menace,PG,1999.0,136.0,6.5,51.0
tt1877832,X-Men: Days of Future Past,PG-13,2014.0,132.0,7.9,75.0
tt3778644,Solo: A Star Wars Story,PG-13,2018.0,135.0,6.9,62.0
tt1386697,Suicide Squad,PG-13,2016.0,123.0,6.0,40.0
tt2222042,Love and Monsters,PG-13,2020.0,109.0,7.0,59.0
tt3748528,Rogue One: A Star Wars Story,PG-13,2016.0,133.0,7.8,65.0
tt9624766,Jiu Jitsu,R,2020.0,102.0,2.9,27.0
tt1477834,Aquaman,PG-13,2018.0,143.0,6.9,55.0
tt1345836,The Dark Knight Rises,PG-13,2012.0,164.0,8.4,78.0
tt1825683,Black Panther,PG-13,2018.0,134.0,7.3,88.0
tt0108358,Tombstone,R,1993.0,130.0,7.8,50.0
tt1502397,Bad Boys for Life,R,2020.0,124.0,6.6,59.0
tt1571234,Mortal Engines,PG-13,2018.0,128.0,6.1,44.0
tt1838556,Honest Thief,PG-13,2020.0,99.0,6.0,46.0
tt0446029,Scott Pilgrim vs. the World,PG-13,2010.0,112.0,7.5,69.0
